sample_id,dataset,hypoxia_stroma_proxy,mycn_expression_z,selected_gene_count,clinical_survival_required,notes
TARGET-30-PATINJ-01A,TARGET-NBL,-0.330401,0.091063,15,true,expression_proxy_only_no_pfs_os_labels
TARGET-30-PANJLH-01A,TARGET-NBL,0.830153,1.380454,15,true,expression_proxy_only_no_pfs_os_labels
TARGET-30-PANBSP-01A,TARGET-NBL,-0.718354,-0.057876,15,true,expression_proxy_only_no_pfs_os_labels
TARGET-30-PANBJH-01A,TARGET-NBL,-0.840699,0.251660,15,true,expression_proxy_only_no_pfs_os_labels
TARGET-30-PAIXIF-01A,TARGET-NBL,0.745614,-0.433769,15,true,expression_proxy_only_no_pfs_os_labels
TARGET-30-PAITCI-01A,TARGET-NBL,0.726216,-0.411772,15,true,expression_proxy_only_no_pfs_os_labels
TARGET-30-PARZIP-01A,TARGET-NBL,-0.869791,0.047144,15,true,expression_proxy_only_no_pfs_os_labels
TARGET-30-PARYNK-01A,TARGET-NBL,-0.388332,-1.218940,15,true,expression_proxy_only_no_pfs_os_labels
TARGET-30-PAUDDK-01A,TARGET-NBL,0.766174,-0.770257,15,true,expression_proxy_only_no_pfs_os_labels
TARGET-30-PAITEG-01A,TARGET-NBL,2.212120,-1.670398,15,true,expression_proxy_only_no_pfs_os_labels
TARGET-30-PATDXG-01A,TARGET-NBL,-0.298916,2.238121,15,true,expression_proxy_only_no_pfs_os_labels
TARGET-30-PALBFW-01A,TARGET-NBL,-0.214973,-0.432132,15,true,expression_proxy_only_no_pfs_os_labels
TARGET-30-PANLET-01A,TARGET-NBL,-0.435668,-0.275624,15,true,expression_proxy_only_no_pfs_os_labels
TARGET-30-PASXGP-01A,TARGET-NBL,-0.647809,-0.014358,15,true,expression_proxy_only_no_pfs_os_labels
TARGET-30-PAPLSD-01A,TARGET-NBL,0.159317,-0.294762,15,true,expression_proxy_only_no_pfs_os_labels
TARGET-30-PANKFE-01A,TARGET-NBL,0.035172,-1.288689,15,true,expression_proxy_only_no_pfs_os_labels
TARGET-30-PATESI-01A,TARGET-NBL,-0.101113,2.223429,15,true,expression_proxy_only_no_pfs_os_labels
TARGET-30-PASGUT-01A,TARGET-NBL,-0.539591,-0.491349,15,true,expression_proxy_only_no_pfs_os_labels
TARGET-30-PALETP-01A,TARGET-NBL,-0.311384,0.111132,15,true,expression_proxy_only_no_pfs_os_labels
TARGET-30-PAPUEB-01A,TARGET-NBL,-0.205789,-0.586542,15,true,expression_proxy_only_no_pfs_os_labels
TARGET-30-PATEKG-01A,TARGET-NBL,-0.131062,-1.193887,15,true,expression_proxy_only_no_pfs_os_labels
TARGET-30-PANZRV-01A,TARGET-NBL,-0.131153,0.102928,15,true,expression_proxy_only_no_pfs_os_labels
TARGET-30-PARHAM-02A,TARGET-NBL,-0.298457,-0.824415,15,true,expression_proxy_only_no_pfs_os_labels
TARGET-30-PATBMM-01A,TARGET-NBL,-0.494631,-0.548677,15,true,expression_proxy_only_no_pfs_os_labels
TARGET-30-PAMNLH-01A,TARGET-NBL,-0.703577,-0.322795,15,true,expression_proxy_only_no_pfs_os_labels
TARGET-30-PANRRW-01A,TARGET-NBL,-0.566884,-0.158272,15,true,expression_proxy_only_no_pfs_os_labels
TARGET-30-PANRHJ-01A,TARGET-NBL,0.160094,-0.200868,15,true,expression_proxy_only_no_pfs_os_labels
TARGET-30-PARACM-01A,TARGET-NBL,-0.008453,-0.177713,15,true,expression_proxy_only_no_pfs_os_labels
TARGET-30-PASPER-01A,TARGET-NBL,-0.759717,-0.749738,15,true,expression_proxy_only_no_pfs_os_labels
TARGET-30-PASYPX-01A,TARGET-NBL,-0.385995,-0.366905,15,true,expression_proxy_only_no_pfs_os_labels
TARGET-30-PAPUWY-01A,TARGET-NBL,-0.586680,0.018118,15,true,expression_proxy_only_no_pfs_os_labels
TARGET-30-PASXHE-01A,TARGET-NBL,-0.716992,0.229482,15,true,expression_proxy_only_no_pfs_os_labels
TARGET-30-PATAYJ-01A,TARGET-NBL,-0.451626,-0.202031,15,true,expression_proxy_only_no_pfs_os_labels
TARGET-30-PATDXC-01A,TARGET-NBL,0.091037,0.119737,15,true,expression_proxy_only_no_pfs_os_labels
TARGET-30-PARZCJ-02A,TARGET-NBL,0.702799,-1.665368,15,true,expression_proxy_only_no_pfs_os_labels
